Line,"{'+atomic', '+definite'} - definite - a_2","{'+definite', '-atomic'} - definite - i_1","{'+atomic', '+definite'} - definite - o_1","{'+atomic', '-definite'} - definite - a_2","{'+atomic', '-definite'} - definite - o_1","{'+definite', '-atomic'} - definite - e_2","{'+atomic', '-definite'} - definite - a_3","{'+atomic', '+definite'} - definite - o_3",{'+atomic'} - definite - a_2
3495,495.1000000000441,295.69999999999874,483.90000000004153,190.89999999999344,180.999999999994,273.8999999999938,102.79999999999843,203.6999999999927,30.300000000000164
3496,495.1000000000441,295.79999999999876,484.2000000000416,190.89999999999344,181.099999999994,273.9999999999938,102.89999999999843,203.8999999999927,30.300000000000164
3497,495.1000000000441,295.8999999999988,484.6000000000417,190.89999999999344,181.199999999994,274.0999999999938,102.99999999999842,204.0999999999927,30.300000000000164
3498,495.40000000004414,295.9999999999988,484.6000000000417,190.99999999999343,181.199999999994,274.19999999999385,102.99999999999842,204.0999999999927,30.300000000000164
3499,495.40000000004414,295.9999999999988,484.7000000000417,190.99999999999343,181.39999999999398,274.19999999999385,102.99999999999842,204.0999999999927,30.300000000000164
3500,495.40000000004414,295.9999999999988,484.80000000004173,190.99999999999343,181.59999999999397,274.19999999999385,102.99999999999842,204.0999999999927,30.300000000000164
3501,495.40000000004414,295.9999999999988,484.90000000004176,190.99999999999343,181.69999999999396,274.19999999999385,102.99999999999842,204.0999999999927,30.300000000000164
3502,495.40000000004414,296.09999999999883,485.30000000004185,190.99999999999343,181.79999999999396,274.2999999999939,103.09999999999842,204.29999999999268,30.300000000000164
3503,495.40000000004414,296.19999999999885,485.70000000004194,190.99999999999343,181.89999999999395,274.3999999999939,103.19999999999841,204.49999999999267,30.300000000000164
3504,495.40000000004414,296.2999999999989,486.000000000042,190.99999999999343,181.99999999999395,274.4999999999939,103.2999999999984,204.69999999999266,30.300000000000164
3505,495.50000000004417,296.2999999999989,486.10000000004203,190.99999999999343,181.99999999999395,274.799999999994,103.2999999999984,204.69999999999266,30.300000000000164
3506,495.6000000000442,296.59999999999894,486.20000000004205,190.99999999999343,181.99999999999395,274.799999999994,103.2999999999984,204.69999999999266,30.300000000000164
3507,496.0000000000443,296.69999999999897,486.20000000004205,191.09999999999343,181.99999999999395,274.899999999994,103.2999999999984,204.69999999999266,30.300000000000164
3508,496.4000000000444,296.799999999999,486.20000000004205,191.19999999999342,181.99999999999395,274.99999999999403,103.2999999999984,204.69999999999266,30.300000000000164
3509,496.4000000000444,296.799999999999,486.3000000000421,191.19999999999342,182.09999999999394,274.99999999999403,103.2999999999984,204.69999999999266,30.300000000000164
3510,496.4000000000444,296.799999999999,486.4000000000421,191.19999999999342,182.19999999999393,274.99999999999403,103.2999999999984,204.69999999999266,30.300000000000164
3511,496.80000000004446,296.899999999999,486.4000000000421,191.29999999999342,182.19999999999393,275.09999999999405,103.2999999999984,204.69999999999266,30.300000000000164
3512,497.20000000004455,296.99999999999903,486.4000000000421,191.3999999999934,182.19999999999393,275.1999999999941,103.2999999999984,204.69999999999266,30.300000000000164
3513,497.5000000000446,297.09999999999906,486.4000000000421,191.4999999999934,182.19999999999393,275.2999999999941,103.2999999999984,204.69999999999266,30.300000000000164
3514,497.5000000000446,297.1999999999991,486.8000000000422,191.4999999999934,182.29999999999393,275.3999999999941,103.3999999999984,204.89999999999264,30.300000000000164
3515,497.5000000000446,297.1999999999991,486.9000000000422,191.4999999999934,182.39999999999392,275.3999999999941,103.3999999999984,204.89999999999264,30.300000000000164
3516,497.5000000000446,297.2999999999991,487.3000000000423,191.4999999999934,182.49999999999392,275.49999999999415,103.4999999999984,205.09999999999263,30.300000000000164
3517,497.9000000000447,297.3999999999991,487.3000000000423,191.5999999999934,182.49999999999392,275.59999999999417,103.4999999999984,205.09999999999263,30.300000000000164
