Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '+atomic'} - definite - o_2","{'-definite', '+atomic'} - definite - o_2","{'-definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - i_2"
328,34.00000000000021,23.100000000000062,34.900000000000226,12.599999999999973,12.699999999999973,23.60000000000007
329,34.100000000000215,23.300000000000065,35.00000000000023,12.599999999999973,12.699999999999973,23.60000000000007
330,34.200000000000216,23.300000000000065,35.00000000000023,12.599999999999973,12.799999999999972,23.60000000000007
331,34.30000000000022,23.300000000000065,35.00000000000023,12.599999999999973,12.899999999999972,23.60000000000007
332,34.40000000000022,23.300000000000065,35.10000000000023,12.599999999999973,12.899999999999972,23.900000000000073
333,34.800000000000225,23.400000000000066,35.10000000000023,12.599999999999973,12.999999999999972,24.000000000000075
334,35.20000000000023,23.500000000000068,35.10000000000023,12.599999999999973,13.099999999999971,24.100000000000076
335,35.20000000000023,23.500000000000068,35.20000000000023,12.699999999999973,13.099999999999971,24.100000000000076
336,35.30000000000023,23.500000000000068,35.30000000000023,12.699999999999973,13.099999999999971,24.30000000000008
337,35.30000000000023,23.500000000000068,35.40000000000023,12.799999999999972,13.099999999999971,24.30000000000008
338,35.40000000000023,23.80000000000007,35.500000000000234,12.799999999999972,13.099999999999971,24.30000000000008
339,35.70000000000024,23.900000000000073,35.500000000000234,12.799999999999972,13.19999999999997,24.40000000000008
340,35.70000000000024,23.900000000000073,35.600000000000236,12.899999999999972,13.19999999999997,24.40000000000008
341,35.80000000000024,23.900000000000073,35.600000000000236,12.899999999999972,13.39999999999997,24.40000000000008
342,35.80000000000024,24.000000000000075,35.90000000000024,12.999999999999972,13.39999999999997,24.50000000000008
343,35.80000000000024,24.100000000000076,36.200000000000244,13.099999999999971,13.39999999999997,24.600000000000083
344,36.10000000000024,24.200000000000077,36.200000000000244,13.099999999999971,13.49999999999997,24.700000000000085
345,36.10000000000024,24.30000000000008,36.50000000000025,13.19999999999997,13.49999999999997,24.800000000000086
346,36.200000000000244,24.30000000000008,36.60000000000025,13.19999999999997,13.49999999999997,25.00000000000009
347,36.200000000000244,24.40000000000008,36.900000000000254,13.29999999999997,13.49999999999997,25.10000000000009
348,36.300000000000246,24.40000000000008,37.000000000000256,13.29999999999997,13.49999999999997,25.400000000000095
349,36.40000000000025,24.40000000000008,37.000000000000256,13.29999999999997,13.59999999999997,25.400000000000095
350,36.50000000000025,24.600000000000083,37.10000000000026,13.29999999999997,13.59999999999997,25.400000000000095
351,36.60000000000025,24.600000000000083,37.20000000000026,13.29999999999997,13.59999999999997,25.600000000000097
352,36.60000000000025,24.700000000000085,37.600000000000264,13.39999999999997,13.59999999999997,25.7000000000001
353,36.60000000000025,24.800000000000086,37.90000000000027,13.49999999999997,13.59999999999997,25.8000000000001
354,36.70000000000025,24.800000000000086,37.90000000000027,13.49999999999997,13.699999999999969,25.8000000000001
355,36.70000000000025,24.800000000000086,38.00000000000027,13.59999999999997,13.699999999999969,25.8000000000001
356,37.000000000000256,24.900000000000087,38.00000000000027,13.59999999999997,13.799999999999969,25.9000000000001
357,37.10000000000026,25.10000000000009,38.10000000000027,13.59999999999997,13.799999999999969,25.9000000000001
358,37.20000000000026,25.10000000000009,38.20000000000027,13.59999999999997,13.799999999999969,26.200000000000106
359,37.30000000000026,25.10000000000009,38.20000000000027,13.59999999999997,13.899999999999968,26.200000000000106
360,37.30000000000026,25.20000000000009,38.50000000000028,13.699999999999969,13.899999999999968,26.300000000000107
361,37.30000000000026,25.20000000000009,38.60000000000028,13.799999999999969,13.899999999999968,26.300000000000107
362,37.40000000000026,25.400000000000095,38.70000000000028,13.799999999999969,13.899999999999968,26.300000000000107
363,37.40000000000026,25.500000000000096,39.000000000000284,13.899999999999968,13.899999999999968,26.40000000000011
364,37.50000000000026,25.8000000000001,39.100000000000286,13.899999999999968,13.899999999999968,26.40000000000011
365,37.50000000000026,25.8000000000001,39.20000000000029,14.099999999999968,13.899999999999968,26.40000000000011
366,37.50000000000026,25.9000000000001,39.50000000000029,14.199999999999967,13.899999999999968,26.50000000000011
367,37.80000000000027,26.000000000000103,39.50000000000029,14.199999999999967,13.999999999999968,26.60000000000011
368,38.10000000000027,26.100000000000104,39.50000000000029,14.199999999999967,14.099999999999968,26.700000000000113
369,38.10000000000027,26.100000000000104,39.60000000000029,14.299999999999967,14.099999999999968,26.700000000000113
370,38.20000000000027,26.300000000000107,39.700000000000294,14.299999999999967,14.099999999999968,26.700000000000113
371,38.300000000000274,26.300000000000107,39.700000000000294,14.299999999999967,14.199999999999967,26.700000000000113
372,38.300000000000274,26.40000000000011,40.0000000000003,14.399999999999967,14.199999999999967,26.800000000000114
373,38.400000000000276,26.40000000000011,40.1000000000003,14.399999999999967,14.199999999999967,27.000000000000117
374,38.50000000000028,26.60000000000011,40.2000000000003,14.399999999999967,14.199999999999967,27.000000000000117
375,38.60000000000028,26.60000000000011,40.2000000000003,14.399999999999967,14.399999999999967,27.000000000000117
376,38.60000000000028,26.700000000000113,40.60000000000031,14.499999999999966,14.399999999999967,27.10000000000012
377,38.70000000000028,26.700000000000113,40.70000000000031,14.499999999999966,14.399999999999967,27.30000000000012
