Line,"{'+atomic', '+definite'} - definite - a_2","{'-atomic', '+definite'} - definite - i_1","{'+atomic', '+definite'} - definite - o_1","{'+atomic', '-definite'} - definite - a_2","{'+atomic', '-definite'} - definite - o_1","{'-atomic', '+definite'} - definite - e_2","{'+atomic', '-definite'} - definite - a_3","{'+atomic', '+definite'} - definite - o_3",{'+atomic'} - definite - a_2
558,69.30000000000034,47.3000000000004,72.20000000000017,28.900000000000144,27.600000000000126,38.60000000000028,13.999999999999968,27.10000000000012,4.8
559,69.40000000000033,47.3000000000004,72.20000000000017,29.20000000000015,27.600000000000126,38.60000000000028,13.999999999999968,27.10000000000012,4.8999999999999995
560,69.50000000000033,47.3000000000004,72.20000000000017,29.500000000000153,27.600000000000126,38.60000000000028,13.999999999999968,27.10000000000012,4.999999999999999
561,69.80000000000031,47.400000000000404,72.20000000000017,29.600000000000154,27.600000000000126,38.70000000000028,13.999999999999968,27.10000000000012,4.999999999999999
562,69.80000000000031,47.500000000000405,72.50000000000016,29.600000000000154,27.700000000000127,38.80000000000028,14.099999999999968,27.30000000000012,4.999999999999999
563,69.80000000000031,47.600000000000406,72.80000000000014,29.600000000000154,27.80000000000013,38.90000000000028,14.199999999999967,27.500000000000124,4.999999999999999
564,70.20000000000029,47.70000000000041,72.80000000000014,29.700000000000156,27.80000000000013,39.000000000000284,14.199999999999967,27.500000000000124,4.999999999999999
565,70.60000000000026,47.80000000000041,72.80000000000014,29.800000000000157,27.80000000000013,39.100000000000286,14.199999999999967,27.500000000000124,4.999999999999999
566,71.00000000000024,47.90000000000041,72.80000000000014,29.90000000000016,27.80000000000013,39.20000000000029,14.199999999999967,27.500000000000124,4.999999999999999
567,71.00000000000024,48.00000000000041,73.10000000000012,29.90000000000016,27.90000000000013,39.30000000000029,14.299999999999967,27.700000000000127,4.999999999999999
568,71.30000000000022,48.10000000000041,73.10000000000012,30.00000000000016,27.90000000000013,39.40000000000029,14.299999999999967,27.700000000000127,4.999999999999999
569,71.7000000000002,48.200000000000415,73.10000000000012,30.10000000000016,27.90000000000013,39.50000000000029,14.299999999999967,27.700000000000127,4.999999999999999
570,71.7000000000002,48.300000000000416,73.4000000000001,30.10000000000016,28.00000000000013,39.60000000000029,14.399999999999967,27.90000000000013,4.999999999999999
571,71.7000000000002,48.40000000000042,73.70000000000009,30.10000000000016,28.100000000000133,39.700000000000294,14.499999999999966,28.100000000000133,4.999999999999999
572,72.10000000000018,48.50000000000042,73.70000000000009,30.200000000000163,28.100000000000133,39.800000000000296,14.499999999999966,28.100000000000133,4.999999999999999
573,72.50000000000016,48.60000000000042,73.70000000000009,30.300000000000164,28.100000000000133,39.9000000000003,14.499999999999966,28.100000000000133,4.999999999999999
574,72.60000000000015,48.60000000000042,73.80000000000008,30.300000000000164,28.100000000000133,40.1000000000003,14.499999999999966,28.100000000000133,4.999999999999999
575,72.70000000000014,48.900000000000425,73.90000000000008,30.300000000000164,28.100000000000133,40.1000000000003,14.499999999999966,28.100000000000133,4.999999999999999
576,72.80000000000014,49.10000000000043,74.00000000000007,30.300000000000164,28.100000000000133,40.1000000000003,14.499999999999966,28.100000000000133,4.999999999999999
577,73.10000000000012,49.20000000000043,74.00000000000007,30.400000000000166,28.100000000000133,40.2000000000003,14.499999999999966,28.100000000000133,4.999999999999999
578,73.4000000000001,49.30000000000043,74.00000000000007,30.500000000000167,28.100000000000133,40.3000000000003,14.499999999999966,28.100000000000133,4.999999999999999
579,73.70000000000009,49.40000000000043,74.00000000000007,30.60000000000017,28.100000000000133,40.400000000000304,14.499999999999966,28.100000000000133,4.999999999999999
580,73.70000000000009,49.50000000000043,74.30000000000005,30.60000000000017,28.200000000000134,40.500000000000306,14.599999999999966,28.300000000000136,4.999999999999999
581,74.00000000000007,49.600000000000435,74.30000000000005,30.70000000000017,28.200000000000134,40.60000000000031,14.599999999999966,28.300000000000136,4.999999999999999
582,74.10000000000007,49.600000000000435,74.30000000000005,30.900000000000173,28.200000000000134,40.60000000000031,14.599999999999966,28.300000000000136,5.099999999999999
583,74.20000000000006,49.600000000000435,74.40000000000005,30.900000000000173,28.200000000000134,40.80000000000031,14.599999999999966,28.300000000000136,5.099999999999999
584,74.30000000000005,49.600000000000435,74.50000000000004,30.900000000000173,28.200000000000134,41.00000000000031,14.599999999999966,28.300000000000136,5.099999999999999
585,74.40000000000005,49.600000000000435,74.60000000000004,30.900000000000173,28.200000000000134,41.200000000000315,14.599999999999966,28.300000000000136,5.099999999999999
586,74.50000000000004,49.600000000000435,74.70000000000003,30.900000000000173,28.200000000000134,41.40000000000032,14.599999999999966,28.300000000000136,5.099999999999999
587,74.90000000000002,49.700000000000436,74.70000000000003,31.000000000000174,28.200000000000134,41.50000000000032,14.599999999999966,28.300000000000136,5.099999999999999
588,75.00000000000001,49.700000000000436,74.80000000000003,31.000000000000174,28.200000000000134,41.70000000000032,14.599999999999966,28.300000000000136,5.099999999999999
589,75.10000000000001,49.700000000000436,74.80000000000003,31.200000000000177,28.200000000000134,41.70000000000032,14.599999999999966,28.300000000000136,5.199999999999998
590,75.39999999999999,49.80000000000044,74.80000000000003,31.30000000000018,28.200000000000134,41.800000000000324,14.599999999999966,28.300000000000136,5.199999999999998
591,75.49999999999999,49.80000000000044,74.90000000000002,31.30000000000018,28.200000000000134,42.00000000000033,14.599999999999966,28.300000000000136,5.199999999999998
592,75.79999999999997,49.90000000000044,74.90000000000002,31.40000000000018,28.200000000000134,42.10000000000033,14.599999999999966,28.300000000000136,5.199999999999998
593,75.79999999999997,50.00000000000044,75.2,31.40000000000018,28.300000000000136,42.20000000000033,14.699999999999966,28.50000000000014,5.199999999999998
594,75.79999999999997,50.00000000000044,75.3,31.40000000000018,28.400000000000137,42.20000000000033,14.699999999999966,28.50000000000014,5.199999999999998
595,76.09999999999995,50.10000000000044,75.3,31.50000000000018,28.400000000000137,42.30000000000033,14.699999999999966,28.50000000000014,5.199999999999998
596,76.19999999999995,50.10000000000044,75.39999999999999,31.50000000000018,28.400000000000137,42.500000000000334,14.699999999999966,28.50000000000014,5.199999999999998
597,76.19999999999995,50.20000000000044,75.69999999999997,31.50000000000018,28.50000000000014,42.600000000000335,14.799999999999965,28.70000000000014,5.199999999999998
598,76.29999999999994,50.20000000000044,75.69999999999997,31.700000000000184,28.50000000000014,42.600000000000335,14.799999999999965,28.70000000000014,5.299999999999998
599,76.39999999999993,50.20000000000044,75.69999999999997,31.900000000000187,28.50000000000014,42.600000000000335,14.799999999999965,28.70000000000014,5.399999999999998
600,76.39999999999993,50.20000000000044,75.79999999999997,31.900000000000187,28.60000000000014,42.600000000000335,14.799999999999965,28.70000000000014,5.399999999999998
601,76.39999999999993,50.20000000000044,75.89999999999996,31.900000000000187,28.70000000000014,42.600000000000335,14.799999999999965,28.70000000000014,5.399999999999998
602,76.79999999999991,50.300000000000445,75.89999999999996,32.000000000000185,28.70000000000014,42.70000000000034,14.799999999999965,28.70000000000014,5.399999999999998
603,76.79999999999991,50.400000000000446,76.29999999999994,32.000000000000185,28.800000000000143,42.80000000000034,14.899999999999965,28.900000000000144,5.399999999999998
604,76.8999999999999,50.400000000000446,76.39999999999993,32.000000000000185,28.800000000000143,43.00000000000034,14.899999999999965,28.900000000000144,5.399999999999998
605,76.8999999999999,50.50000000000045,76.69999999999992,32.000000000000185,28.900000000000144,43.10000000000034,14.999999999999964,29.100000000000147,5.399999999999998
606,76.8999999999999,50.60000000000045,77.0999999999999,32.000000000000185,29.000000000000146,43.200000000000344,15.099999999999964,29.30000000000015,5.399999999999998
607,76.8999999999999,50.70000000000045,77.39999999999988,32.000000000000185,29.100000000000147,43.300000000000345,15.199999999999964,29.500000000000153,5.399999999999998
608,76.8999999999999,50.80000000000045,77.69999999999986,32.000000000000185,29.20000000000015,43.40000000000035,15.299999999999963,29.700000000000156,5.399999999999998
609,76.8999999999999,50.90000000000045,78.09999999999984,32.000000000000185,29.30000000000015,43.50000000000035,15.399999999999963,29.90000000000016,5.399999999999998
610,76.9999999999999,50.90000000000045,78.19999999999983,32.000000000000185,29.30000000000015,43.70000000000035,15.399999999999963,29.90000000000016,5.399999999999998
611,77.0999999999999,51.100000000000456,78.29999999999983,32.000000000000185,29.30000000000015,43.70000000000035,15.399999999999963,29.90000000000016,5.399999999999998
